Employee ID,First Name,Last Name,Gender,Region,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary (£),Birth Date,Termination Date,Adjusted Salary (£)
E10023,Richard,Ward,Female,North West,Liverpool,2022-04-16,Marketing,SEO Specialist,Bachelor's,Satisfactory,Yes,44784,1996-08-12,,44784.0
E10024,Gemma,Hughes,Male,Midlands,Leicester,2020-06-01,Operations,Logistics Coordinator,Diploma,Good,Yes,42086,1969-10-29,2023-05-15,42927.72
E10025,Neil,Price,Female,Scotland,Aberdeen,2021-12-29,Finance,Finance Manager,Master's,Satisfactory,No,66341,1999-04-20,,69658.05
E10026,Alexander,Edwards,Female,Scotland,Edinburgh,2020-12-04,Finance,Finance Manager,Master's,Satisfactory,No,65907,1992-03-14,,69202.35
E10027,Holly,Conway,Male,London,Harrow,2019-10-20,HR,HR Officer,Bachelor's,Excellent,No,36690,1983-02-05,,37423.8
E10028,Steven,Waters,Female,South East,Brighton,2020-12-15,HR,HR Manager,Master's,Satisfactory,No,61644,1985-01-10,,64726.200000000004
E10029,Nicola,Rowley,Male,Midlands,Nottingham,2019-05-13,IT,IT Support Technician,Diploma,Excellent,No,29452,1976-05-26,2023-01-12,30041.04
E10030,Ann,Shah,Female,North West,Preston,2023-11-04,Sales,Sales Manager,Bachelor's,Excellent,No,65147,1991-04-24,2025-03-23,65147.0
E10031,David,Johnson,Male,London,Harrow,2020-02-01,Sales,Sales Executive,Bachelor's,Satisfactory,No,34996,1978-11-14,,35695.92
E10032,Neil,Austin,Male,Scotland,Edinburgh,2018-01-01,Marketing,Content Writer,Bachelor's,Satisfactory,Yes,31981,1988-05-14,,32620.62
E10033,Harriet,Rogers,Female,Midlands,Nottingham,2020-05-02,Operations,Supply Chain Analyst,Bachelor's,Satisfactory,No,36406,1968-11-19,,36406.0
E10034,Roger,Black,Male,South East,Brighton,2021-11-23,Operations,Logistics Coordinator,Diploma,Good,No,31634,2002-09-28,,32266.68
E10035,Teresa,Johnson,Male,Midlands,Nottingham,2019-08-07,Sales,Business Development Executive,Diploma,Excellent,No,37739,2001-08-01,,38493.78
E10036,Toby,Stevens,Female,London,Croydon,2023-09-04,IT,Data Analyst,Bachelor's,Satisfactory,No,44712,1986-12-18,,44712.0
E10037,Barry,Morton,Female,North West,Liverpool,2020-09-27,Customer Service,Customer Service Manager,Bachelor's,Satisfactory,No,35834,1972-01-30,,35834.0
E10038,Ashley,Russell,Female,Scotland,Glasgow,2016-02-02,HR,Recruitment Consultant,Bachelor's,Excellent,No,33675,1987-10-13,,33675.0
E10039,Ian,Hamilton,Male,South East,Reading,2020-03-29,Sales,Business Development Executive,Diploma,Good,Yes,33898,1964-10-19,,34575.96
E10040,Donald,Hayes,Male,Midlands,Birmingham,2024-02-07,HR,Recruitment Consultant,Bachelor's,Satisfactory,No,38258,1997-06-14,,39023.16
E10041,Rita,Clarke,Male,Scotland,Edinburgh,2018-12-28,Customer Service,Call Centre Agent,A-Level,Satisfactory,Yes,24963,1979-01-30,,25462.260000000002
E10042,Clifford,Webb,Female,London,London,2023-08-15,IT,Data Analyst,Bachelor's,Satisfactory,Yes,53007,1964-07-28,,53007.0
E10043,Jemma,Roberts,Male,Midlands,Nottingham,2022-12-03,Sales,Business Development Executive,Diploma,Satisfactory,Yes,42210,1967-08-12,,43054.200000000004
E10044,Adrian,Hardy,Male,Midlands,Nottingham,2022-08-07,Operations,Operations Manager,Master's,Needs Improvement,Yes,71608,1999-07-13,,76692.168
E10045,Nicola,Brown,Female,South East,Brighton,2017-01-28,Customer Service,Customer Service Advisor,Diploma,Good,Yes,27498,1976-04-07,2022-08-31,27498.0
E10046,Stephanie,Miller,Male,North West,Manchester,2024-01-29,IT,Software Engineer,Bachelor's,Good,No,56762,1982-11-08,,57897.24
E10047,Lawrence,Payne,Female,Midlands,Nottingham,2019-06-12,Customer Service,Customer Service Advisor,Diploma,Excellent,No,27435,1974-10-20,,27435.0
E10048,Benjamin,Parker,Male,North West,Liverpool,2021-03-12,Sales,Sales Manager,Bachelor's,Excellent,No,66747,1998-11-18,,68081.94
E10049,Bruce,Mann,Male,Midlands,Birmingham,2015-11-04,Finance,Accountant,Bachelor's,Satisfactory,No,48653,2000-11-16,,49626.06
E10050,Abigail,Thomas,Female,South East,Southampton,2018-05-26,Operations,Logistics Coordinator,Diploma,Satisfactory,No,43035,1994-02-27,,43035.0
E10051,Clive,White,Female,Midlands,Birmingham,2020-09-16,Sales,Sales Executive,Bachelor's,Good,No,38590,1976-08-14,,38590.0
E10052,Mathew,Faulkner,Male,South East,Southampton,2022-05-04,Marketing,Marketing Manager,Master's,Good,No,48864,1992-10-14,,52333.344000000005
E10053,Katie,Martin,Female,Midlands,Birmingham,2016-12-23,Sales,Business Development Executive,Diploma,Good,No,34559,1994-09-06,,34559.0
E10054,Kayleigh,Ahmed,Female,Scotland,Edinburgh,2024-01-22,Customer Service,Customer Service Manager,Bachelor's,Good,No,41650,1983-07-23,,41650.0
E10055,Katie,Dickinson,Female,Scotland,Edinburgh,2016-04-08,Operations,Operations Manager,Master's,Excellent,Yes,67147,1971-12-13,,70504.35
E10056,Catherine,Lowe,Female,London,London,2023-03-27,Finance,Auditor,Bachelor's,Excellent,No,35045,1971-06-21,2024-05-20,35045.0
E10057,Bradley,Preston,Female,South East,Southampton,2024-02-09,Operations,Logistics Coordinator,Diploma,Excellent,No,29057,1970-02-17,2025-11-24,29057.0
E10058,Roger,Wilkins,Male,Midlands,Nottingham,2021-06-02,IT,Software Engineer,Bachelor's,Good,No,57757,1968-09-17,,58912.14
E10059,Katie,White,Female,North West,Manchester,2022-07-04,Customer Service,Customer Service Manager,Bachelor's,Good,No,47844,1964-06-27,2024-05-19,47844.0
E10060,Jessica,Garner,Male,Scotland,Edinburgh,2017-09-16,HR,HR Officer,Bachelor's,Excellent,No,37952,1967-05-01,,38711.04
E10061,Abigail,King,Female,London,Croydon,2019-10-13,IT,IT Support Technician,Diploma,Excellent,No,31326,1998-06-13,,31326.0
E10062,Callum,Brookes,Female,London,Harrow,2020-02-12,IT,IT Support Technician,Diploma,Good,No,37204,1982-08-05,,37204.0
E10063,Raymond,Thomas,Female,South East,Southampton,2024-11-11,Operations,Supply Chain Analyst,Bachelor's,Satisfactory,No,53606,2000-05-26,,53606.0
E10064,Albert,Brown,Male,Midlands,Birmingham,2023-12-05,Marketing,SEO Specialist,Bachelor's,Satisfactory,No,35248,1973-01-31,,35952.96
E10065,Simon,Scott,Male,London,Croydon,2016-05-27,Customer Service,Customer Service Advisor,Diploma,Satisfactory,Yes,27595,1991-10-06,,28146.9
E10066,Leanne,Richardson,Female,Scotland,Aberdeen,2024-10-20,Sales,Business Development Executive,Diploma,Good,No,39581,1969-05-22,,39581.0
E10067,Hazel,Buckley,Female,Scotland,Glasgow,2016-12-26,Customer Service,Customer Service Manager,Bachelor's,Good,Yes,42529,1989-03-29,,42529.0
E10068,Geraldine,Hughes,Male,London,Harrow,2023-10-16,Operations,Logistics Coordinator,Diploma,Excellent,Yes,36424,1984-11-07,,37152.48
E10069,Robin,Johnson,Female,South East,Reading,2018-01-20,Marketing,Marketing Manager,Master's,Satisfactory,Yes,58856,1965-04-30,,61798.8
E10070,Charles,Davies,Male,South East,Southampton,2016-02-25,Operations,Logistics Coordinator,Diploma,Good,No,44457,1993-09-11,,45346.14
E10071,Karl,Chapman,Male,South East,Brighton,2021-06-22,Finance,Finance Manager,Master's,Satisfactory,No,68464,2001-01-28,,73324.944
E10072,Jane,White,Female,South East,Brighton,2019-09-11,HR,Recruitment Consultant,Bachelor's,Excellent,Yes,28409,1972-06-25,2022-07-26,28409.0
E10073,Josh,Morris,Male,North West,Manchester,2021-10-06,Sales,Sales Executive,Bachelor's,Excellent,No,40027,1976-08-23,,40827.54
E10074,Jack,Clarke,Male,South East,Reading,2023-05-02,Finance,Auditor,Bachelor's,Satisfactory,No,40299,1993-11-05,,41104.98
E10075,Elliott,Sharp,Female,North West,Manchester,2019-08-28,IT,Software Engineer,Bachelor's,Satisfactory,No,61939,1965-03-31,,61939.0
E10076,Harriet,Young,Male,London,London,2017-02-14,Sales,Sales Executive,Bachelor's,Excellent,Yes,44408,1974-02-20,,45296.16
E10077,Charlotte,Williamson,Male,Midlands,Birmingham,2024-03-30,Marketing,Marketing Manager,Master's,Excellent,No,56595,1965-09-06,,60613.245
E10078,Amber,Hall,Female,Scotland,Edinburgh,2020-10-14,Marketing,Marketing Manager,Master's,Good,No,55196,1982-07-17,,57955.8
E10079,Paul,Blake,Male,Scotland,Glasgow,2024-03-14,Sales,Sales Manager,Bachelor's,Good,No,62250,1997-06-22,2025-08-01,63495.0
E10080,Guy,Birch,Female,London,Croydon,2024-10-16,Operations,Supply Chain Analyst,Bachelor's,Good,Yes,39183,1979-11-08,,39183.0
E10081,Aimee,Jones,Female,North West,Liverpool,2016-06-20,Sales,Sales Manager,Bachelor's,Excellent,No,59735,1965-11-21,,59735.0
E10082,Abdul,Wilson,Male,Scotland,Edinburgh,2022-03-06,Customer Service,Customer Service Manager,Bachelor's,Satisfactory,No,42865,1986-03-15,,43722.3
E10083,Sandra,Parsons,Female,Scotland,Glasgow,2020-08-29,Sales,Sales Manager,Bachelor's,Needs Improvement,No,66410,1983-10-05,,66410.0
E10084,Bruce,Clarke,Female,North West,Preston,2020-02-06,Finance,Finance Manager,Master's,Good,Yes,56660,1989-04-28,,59493.0
E10085,Tracy,Bird,Male,Midlands,Birmingham,2020-09-24,Sales,Sales Executive,Bachelor's,Excellent,No,44826,1968-02-01,,45722.520000000004
E10086,Dennis,Williams,Male,Midlands,Leicester,2019-06-14,Customer Service,Customer Service Advisor,Diploma,Satisfactory,Yes,27247,1987-07-24,2024-01-28,27791.94
E10087,Ruth,Rogers,Male,Midlands,Nottingham,2024-08-01,Finance,Finance Manager,Master's,Satisfactory,Yes,63381,1973-08-21,,67881.051
E10088,Damien,Edwards,Female,Midlands,Birmingham,2019-03-14,IT,Data Analyst,Bachelor's,Satisfactory,No,51739,1983-06-20,,51739.0
E10089,Darren,Richardson,Male,Scotland,Aberdeen,2019-11-25,Sales,Sales Executive,Bachelor's,Satisfactory,Yes,34451,2001-03-12,,35140.020000000004
E10090,Danny,Campbell,Male,Midlands,Leicester,2022-07-20,Finance,Accountant,Bachelor's,Excellent,No,35276,1968-09-17,,35981.520000000004
E10091,Julia,Smith,Male,North West,Preston,2016-09-10,IT,IT Support Technician,Diploma,Excellent,Yes,38678,1993-09-06,,39451.56
E10092,Lindsey,Coleman,Male,Midlands,Leicester,2022-07-22,Operations,Supply Chain Analyst,Bachelor's,Satisfactory,No,49232,2002-01-10,,50216.64
E10093,Janice,Henry,Male,North West,Liverpool,2021-09-10,Sales,Sales Executive,Bachelor's,Excellent,No,31280,1964-12-18,,31905.600000000002
E10094,Rosemary,Pickering,Male,North West,Manchester,2019-10-14,Operations,Supply Chain Analyst,Bachelor's,Excellent,No,45314,1979-04-24,,46220.28
E10095,Brenda,Allen,Male,North West,Liverpool,2019-04-22,Finance,Finance Manager,Master's,Good,No,69176,1983-02-22,,74087.49600000001
E10096,Christian,Norman,Female,Scotland,Edinburgh,2018-02-16,IT,Data Analyst,Bachelor's,Excellent,No,52003,1994-07-19,,52003.0
E10097,Glen,Martin,Male,Scotland,Aberdeen,2015-11-14,Operations,Supply Chain Analyst,Bachelor's,Good,No,43076,1974-06-23,,43937.520000000004
E10098,Gemma,Ross,Male,Midlands,Birmingham,2024-04-19,Sales,Sales Executive,Bachelor's,Satisfactory,Yes,49021,1975-07-17,,50001.42
E10099,Wendy,Harper,Male,London,London,2018-04-17,Customer Service,Customer Service Advisor,Diploma,Excellent,No,27519,1966-05-25,,28069.38
E10100,Billy,Young,Male,Scotland,Aberdeen,2024-09-20,HR,Recruitment Consultant,Bachelor's,Satisfactory,Yes,32766,1967-10-08,,33421.32
E10101,Katherine,Scott,Female,Scotland,Edinburgh,2023-04-27,Finance,Finance Manager,Master's,Excellent,No,67550,1986-04-09,,70927.5
E10102,Hannah,Finch,Male,South East,Reading,2023-05-19,Sales,Sales Manager,Bachelor's,Satisfactory,Yes,61915,1969-04-21,2024-12-02,63153.3
E10103,Geoffrey,Mellor,Female,South East,Reading,2023-11-07,Sales,Sales Executive,Bachelor's,Satisfactory,No,34169,1970-06-12,,34169.0
E10104,Melanie,Smith,Male,Scotland,Edinburgh,2020-04-26,Marketing,Content Writer,Bachelor's,Good,No,29547,1985-01-10,,30137.940000000002
E10105,Shane,Morgan,Female,South East,Southampton,2020-01-23,Customer Service,Customer Service Advisor,Diploma,Excellent,No,30891,1985-04-01,,30891.0
E10106,Bethan,Carter,Male,South East,Reading,2015-01-11,Sales,Sales Executive,Bachelor's,Good,Yes,40894,1981-09-22,,41711.88
E10107,Simon,Hodgson,Male,London,Croydon,2017-04-07,IT,IT Support Technician,Diploma,Satisfactory,No,33287,2002-12-23,,33952.74
E10108,Caroline,Storey,Female,London,London,2016-01-03,Customer Service,Call Centre Agent,A-Level,Excellent,No,29912,1981-09-12,,29912.0
E10109,Adam,Taylor,Male,South East,Reading,2019-08-25,Sales,Business Development Executive,Diploma,Excellent,No,42468,1964-10-12,,43317.36
E10110,Andrew,Taylor,Female,Midlands,Nottingham,2019-03-17,Finance,Finance Manager,Master's,Satisfactory,No,62877,1980-06-23,,66020.85
E10111,Matthew,Hunt,Female,North West,Manchester,2017-02-17,Marketing,Marketing Manager,Master's,Needs Improvement,No,53188,1970-03-16,,55847.4
E10112,Duncan,Reid,Female,Midlands,Nottingham,2022-03-12,Sales,Business Development Executive,Diploma,Satisfactory,Yes,37243,1969-06-11,,37243.0
E10113,Lewis,Payne,Male,North West,Liverpool,2024-05-04,HR,HR Manager,Master's,Excellent,No,62356,1990-04-28,,66783.27600000001
E10114,Marc,Gibbons,Female,South East,Reading,2021-10-31,Operations,Operations Manager,Master's,Excellent,No,66429,1971-11-08,,69750.45
E10115,Christopher,Manning,Male,South East,Southampton,2023-12-26,Marketing,Content Writer,Bachelor's,Excellent,No,38709,1975-03-01,,39483.18
E10116,Ian,Miller,Male,North West,Preston,2017-03-15,HR,Recruitment Consultant,Bachelor's,Satisfactory,No,31267,1983-05-29,,31892.34
E10117,Elizabeth,James,Female,North West,Manchester,2024-02-27,Customer Service,Customer Service Advisor,Diploma,Needs Improvement,Yes,26973,1983-03-08,,26973.0
E10118,Denise,Stephens,Female,Scotland,Edinburgh,2021-03-06,Operations,Logistics Coordinator,Diploma,Excellent,No,40177,2002-05-01,,40177.0
E10119,Lindsey,Hyde,Female,London,London,2023-07-26,Customer Service,Customer Service Advisor,Diploma,Satisfactory,Yes,34629,1995-02-19,,34629.0
E10120,Sylvia,Harrison,Female,London,London,2017-03-30,HR,HR Officer,Bachelor's,Excellent,Yes,42551,1993-02-08,,42551.0
E10121,Antony,Brown,Female,Scotland,Aberdeen,2019-01-29,Sales,Business Development Executive,Diploma,Excellent,Yes,39340,1998-07-18,,39340.0
E10122,Craig,Page,Male,North West,Preston,2018-09-18,Sales,Sales Executive,Bachelor's,Needs Improvement,Yes,43700,1975-04-22,,44574.0
E10123,Leah,Edwards,Female,Midlands,Leicester,2022-12-05,Operations,Logistics Coordinator,Diploma,Good,No,37615,1968-07-13,,37615.0
E10124,Sarah,Allen,Male,London,London,2020-08-26,Customer Service,Customer Service Advisor,Diploma,Needs Improvement,No,30841,1965-06-21,,31457.82
E10125,Clifford,Lee,Female,Scotland,Glasgow,2023-03-17,Operations,Supply Chain Analyst,Bachelor's,Good,No,47313,1997-01-08,,47313.0
E10126,Brian,Kemp,Male,South East,Brighton,2022-07-04,HR,HR Manager,Master's,Needs Improvement,No,57189,1993-08-09,,61249.419
E10127,Charlene,Brown,Male,North West,Manchester,2017-07-19,Customer Service,Customer Service Advisor,Diploma,Excellent,No,29461,1997-03-26,2022-01-26,30050.22
E10128,Katherine,Lowe,Male,South East,Southampton,2022-03-21,HR,HR Officer,Bachelor's,Excellent,No,41167,1983-05-06,,41990.340000000004
E10129,Ian,Woods,Male,North West,Manchester,2016-02-05,Sales,Business Development Executive,Diploma,Good,No,43360,1996-04-16,,44227.200000000004
E10130,Lynn,Potter,Male,South East,Brighton,2017-01-09,Finance,Accountant,Bachelor's,Satisfactory,No,42066,1991-09-05,,42907.32
E10131,Georgina,Davies,Male,London,London,2019-11-23,IT,Data Analyst,Bachelor's,Excellent,Yes,39385,1971-03-20,,40172.7
E10132,Glenn,Moss,Male,Midlands,Leicester,2024-12-05,Sales,Business Development Executive,Diploma,Good,No,33910,1973-07-04,,34588.2
E10133,Leanne,Berry,Female,South East,Brighton,2018-06-11,Sales,Sales Manager,Bachelor's,Satisfactory,No,69955,1990-03-22,,69955.0
E10134,Leon,Hughes,Male,North West,Liverpool,2022-02-21,Finance,Auditor,Bachelor's,Needs Improvement,Yes,42167,1975-11-29,,43010.340000000004
E10135,Eric,Martin,Female,South East,Reading,2022-12-28,Customer Service,Call Centre Agent,A-Level,Satisfactory,No,23991,1965-08-29,,23991.0
E10136,Samuel,Atkinson,Male,Midlands,Birmingham,2024-06-04,Customer Service,Customer Service Manager,Bachelor's,Good,No,35303,1988-02-16,,36009.06
E10137,Shaun,Walters,Male,London,Harrow,2018-03-23,Finance,Accountant,Bachelor's,Good,Yes,47627,1969-12-02,,48579.54
E10138,Hugh,Smith,Female,Midlands,Birmingham,2020-02-29,IT,Data Analyst,Bachelor's,Satisfactory,No,38594,1987-05-03,,38594.0
E10139,Neil,Sharp,Male,Scotland,Edinburgh,2017-09-01,HR,HR Officer,Bachelor's,Excellent,Yes,37368,1986-09-08,,38115.36
E10140,Chelsea,Russell,Male,London,Croydon,2020-03-22,Finance,Finance Manager,Master's,Excellent,Yes,69846,2002-10-11,,74805.066
E10141,Richard,Singh,Male,North West,Preston,2023-08-08,Sales,Sales Executive,Bachelor's,Good,No,43489,1967-04-13,,44358.78
E10142,Teresa,Anderson,Male,London,Croydon,2016-06-18,Finance,Auditor,Bachelor's,Good,Yes,43984,1999-07-05,,44863.68
E10143,Toby,Carroll,Male,London,London,2023-10-11,IT,Software Engineer,Bachelor's,Needs Improvement,Yes,46062,1966-07-07,,46983.24
E10144,Hayley,Field,Female,Scotland,Edinburgh,2023-10-13,IT,Data Analyst,Bachelor's,Good,No,37460,1982-08-26,,37460.0
E10145,Elizabeth,Hunter,Male,North West,Liverpool,2023-10-18,Operations,Logistics Coordinator,Diploma,Satisfactory,Yes,40688,1989-01-18,2025-06-04,41501.76
E10146,Shaun,Jones,Female,Midlands,Leicester,2017-11-06,Sales,Sales Manager,Bachelor's,Needs Improvement,No,68700,1967-12-12,,68700.0
E10147,Olivia,Russell,Male,North West,Preston,2024-04-12,Marketing,SEO Specialist,Bachelor's,Good,Yes,39497,1991-08-26,,40286.94
E10148,Edward,Rahman,Male,South East,Reading,2019-09-25,Sales,Sales Manager,Bachelor's,Excellent,No,65081,1991-11-17,,66382.62
E10149,Francesca,Jarvis,Female,London,London,2023-01-15,Finance,Auditor,Bachelor's,Good,No,33006,1965-01-06,,33006.0
E10150,Cheryl,Watkins,Male,Midlands,Nottingham,2017-02-11,IT,Data Analyst,Bachelor's,Good,No,47018,1993-04-27,,47958.36
E10151,Nicole,Williams,Male,South East,Brighton,2022-03-18,IT,Data Analyst,Bachelor's,Needs Improvement,No,45044,1991-09-18,,45944.88
E10152,Terence,Wright,Male,Scotland,Glasgow,2016-01-23,Customer Service,Customer Service Advisor,Diploma,Satisfactory,No,32770,1980-08-12,,33425.4
E10153,Jordan,Mason,Male,South East,Brighton,2023-01-28,Finance,Accountant,Bachelor's,Good,No,37997,1972-09-06,,38756.94
E10154,Vincent,Dixon,Female,London,Harrow,2018-02-15,Sales,Sales Manager,Bachelor's,Satisfactory,No,67621,1999-08-31,,67621.0
E10155,Ricky,Adams,Male,South East,Brighton,2024-05-13,Operations,Operations Manager,Master's,Good,Yes,72176,1987-11-28,2025-02-18,77300.49600000001
E10156,Leanne,Pugh,Female,Scotland,Edinburgh,2016-02-10,IT,IT Support Technician,Diploma,Excellent,Yes,30075,1995-03-18,,30075.0
E10157,Marion,Stevens,Female,Scotland,Aberdeen,2019-03-23,Operations,Operations Manager,Master's,Satisfactory,No,72222,1998-04-20,,75833.1
E10158,Annette,Foster,Male,Scotland,Edinburgh,2021-04-08,Operations,Supply Chain Analyst,Bachelor's,Needs Improvement,Yes,53953,1992-09-07,,55032.06
E10159,Billy,Morgan,Male,Scotland,Aberdeen,2024-08-11,Customer Service,Call Centre Agent,A-Level,Excellent,No,26914,1966-10-06,,27452.28
E10160,Ashley,Summers,Male,North West,Preston,2019-01-01,IT,Data Analyst,Bachelor's,Good,No,40486,1979-06-16,,41295.72
E10161,Sally,Iqbal,Male,Scotland,Aberdeen,2019-02-24,Marketing,SEO Specialist,Bachelor's,Excellent,No,31878,1966-06-07,,32515.56
E10162,Abdul,Walker,Male,Scotland,Aberdeen,2020-12-05,Operations,Operations Manager,Master's,Good,No,70584,1975-06-18,,75595.464
E10163,Leonard,Gill,Female,London,Harrow,2017-09-23,Marketing,Content Writer,Bachelor's,Good,No,35108,1988-02-04,,35108.0
E10164,Danny,Phillips,Male,London,London,2018-03-20,Sales,Sales Executive,Bachelor's,Good,No,48200,1968-04-15,,49164.0
E10165,Leslie,Lowe,Female,Scotland,Aberdeen,2017-08-20,Sales,Business Development Executive,Diploma,Excellent,No,28435,1998-02-11,,28435.0
E10166,Kyle,Wright,Male,London,London,2019-11-25,HR,Recruitment Consultant,Bachelor's,Good,No,32519,1996-01-18,,33169.38
E10167,Vanessa,Anderson,Male,London,Croydon,2018-09-16,Customer Service,Customer Service Advisor,Diploma,Needs Improvement,Yes,31560,1980-12-22,,32191.2
E10168,Lynda,Smith,Male,London,London,2017-10-24,IT,Data Analyst,Bachelor's,Good,No,40600,2001-04-21,,41412.0
E10169,Dean,Gough,Male,London,Harrow,2023-02-05,Customer Service,Customer Service Advisor,Diploma,Satisfactory,Yes,32566,1983-08-18,,33217.32
E10170,Sandra,Thomas,Male,Midlands,Leicester,2024-10-21,HR,HR Manager,Master's,Excellent,No,47623,1990-02-20,,51004.233
E10171,Lorraine,Palmer,Male,Midlands,Birmingham,2018-01-29,Finance,Accountant,Bachelor's,Needs Improvement,No,40253,1980-03-17,,41058.06
E10172,Aaron,Williams,Male,London,Harrow,2022-09-08,Sales,Sales Executive,Bachelor's,Good,Yes,42429,1997-12-11,,43277.58
E10173,Cameron,Smith,Male,North West,Preston,2021-11-08,Operations,Operations Manager,Master's,Good,No,53447,1981-09-10,,57241.73700000001
E10174,Samuel,Edwards,Male,Scotland,Glasgow,2021-12-01,Sales,Business Development Executive,Diploma,Good,No,28444,1983-12-18,,29012.88
E10175,Kayleigh,Cole,Female,North West,Manchester,2017-10-27,Finance,Finance Manager,Master's,Good,No,63204,1988-02-06,2022-01-19,66364.2
E10176,Joel,Jones,Male,North West,Preston,2017-07-17,HR,HR Manager,Master's,Needs Improvement,No,58391,1998-10-02,,62536.761000000006
E10177,Richard,Stewart,Male,Scotland,Glasgow,2021-10-28,Sales,Sales Manager,Bachelor's,Good,Yes,56228,1974-04-10,,57352.56
E10178,Brett,Vincent,Female,North West,Manchester,2024-10-07,Finance,Auditor,Bachelor's,Satisfactory,Yes,37132,1993-08-25,,37132.0
E10179,Dean,Howell,Male,Midlands,Birmingham,2017-07-20,Sales,Business Development Executive,Diploma,Needs Improvement,Yes,31213,1971-05-01,,31837.260000000002
E10180,Diane,Hayes,Male,Midlands,Birmingham,2018-08-19,IT,Software Engineer,Bachelor's,Excellent,No,40524,1985-09-12,,41334.48
E10181,Susan,Fox,Female,Midlands,Leicester,2021-10-21,Sales,Sales Executive,Bachelor's,Good,No,45219,1996-06-29,,45219.0
E10182,Lynn,Moore,Male,South East,Southampton,2015-11-28,Customer Service,Call Centre Agent,A-Level,Excellent,No,21111,1975-11-17,,21533.22
E10183,Lawrence,Oliver,Female,North West,Preston,2022-04-25,Operations,Supply Chain Analyst,Bachelor's,Good,No,39897,1965-08-02,,39897.0
E10184,Natalie,Smith,Female,London,London,2016-11-20,Operations,Logistics Coordinator,Diploma,Satisfactory,No,40780,1970-09-10,,40780.0
